Case;Event
9;Understand code logic
9;Identify code containing sensitive assets
9;Tamper with data
9;Analyze attack results
9;Tamper with the code statically
9;Analyze attack results
9;Black-box analysis
9;Understand code logic
9;Tamper with the code statically
9;Analyze attack results
9;END
10;START
10;Identify input / data format
10;Understand code logic
10;Tamper with data
10;Analyze attack results
10;Make hypothesis on reasons for attack failure
10;Tamper with the code statically
10;Analyze attack results
10;Tamper with the code statically
10;Analyze attack results
10;Make hypothesis on reasons for attack failure
10;Tamper with the code statically
10;Analyze attack results
10;END
11;START
11;Understand code logic
11;Debugging
11;Make hypothesis
11;Build the attack strategy
11;Identify code containing sensitive assets
11;String / name analysis
11;Tamper with the code statically
11;Analyze attack results
11;Make hypothesis on reasons for attack failure
11;Tamper with the code statically
11;Analyze attack results
11;Confirm hypothesis
11;Build the attack strategy
11;Understand code logic
11;Tamper with the code statically
11;Analyze attack results
11;Tamper with the code statically
11;Analyze attack results
11;END
12;START
12;Preliminary understanding of the app
12;Black-box analysis
12;Identify code containing sensitive assets
12;Identify code containing sensitive assets
12;String / name analysis
12;Understand code logic
12;Identify code containing sensitive assets
12;Understand code logic
12;Identify code containing sensitive assets
12;Understand code logic
12;Tamper with the code statically
12;Analyze attack results
12;Tamper with the code statically
12;Analyze attack results
12;Identify code containing sensitive assets
12;Understand code logic
12;Tamper with the code statically
12;Tamper with the code statically
12;Analyze attack results
12;Data flow analysis
12;Identify code containing sensitive assets
12;Tamper with the code statically
12;Analyze attack results
12;END
13;START
13;Understand the app
13;Understand code logic
13;Tamper with the code statically
13;Analyze attack results
13;Tamper with the code statically
13;Analyze attack results
13;Identify code containing sensitive assets
13;Tamper with the code statically
13;Analyze attack results
13;END
14;START
14;Understand code logic
14;Identify input / data format
14;Identify code containing sensitive assets
14;Identify code containing sensitive assets
14;Understand code logic
14;Identify code containing sensitive assets
14;Understand code logic
14;Tamper with the code statically
14;Identify input / data format
14;Understand the app
14;Tamper with the code statically
14;Tamper with the code statically
14;END
15;START
15;Identify API calls
15;Understand code logic
15;Tamper with the code statically
15;END
16;START
16;Preliminary understanding of the app
16;Static analysis
16;Identify code containing sensitive assets
16;Tamper with the code statically
16;Identify input / data format
16;Make hypothesis on reasons for attack failure
16;Analyze attack results
16;Tamper with the code statically
16;Analyze attack results
16;Identify code containing sensitive assets
16;Tamper with the code statically
16;Analyze attack results
16;Make hypothesis on reasons for attack failure
16;END
17;START
17;Understand the app
17;Identify code containing sensitive assets
17;Tamper with the code statically
17;Analyze attack results
17;Tamper with the code statically
17;Analyze attack results
17;END
18;START
18;Tamper with the code statically
18;Tamper with the code statically
18;Identify code containing sensitive assets
18;Analyze attack results
18;Tamper with the code statically
18;Analyze attack results
18;Tamper with the code statically
18;Analyze attack results
18;END
19;START
19;Tamper with the code statically
19;Analyze attack results
19;END
20;START
20;Preliminary understanding of the app
20;Identify points of attack
20;Tamper with the code statically
20;Analyze attack results
20;Tamper with the code statically
20;Analyze attack results
20;END
21;START
21;Tamper with the code statically
21;Tamper with the code statically
21;END
22;START
22;Preliminary understanding of the app
22;Identify code containing sensitive assets
22;Understand code logic
22;Identify code containing sensitive assets
22;Understand code logic
22;Tamper with the code statically
22;Analyze attack results
22;Make hypothesis on reasons for attack failure
22;Tamper with the code statically
22;Analyze attack results
22;END
23;START
23;Understand the app
23;Build the attack strategy
23;Identify code containing sensitive assets
23;Static analysis
23;Tamper with the code statically
23;Analyze attack results
23;Dynamic analysis
23;Make hypothesis on reasons for attack failure
23;Evaluate and select alternative steps / revise strategy
23;Tamper with the code statically
23;Identify assets by naming scheme
23;Analyze attack results
23;END
24;START
24;Preliminary understanding of the app
24;Understand code logic
24;Understand code logic
24;Evaluate and select alternative steps / revise strategy
24;Identify code containing sensitive assets
24;Tamper with the code statically
24;Analyze attack results
24;Evaluate and select alternative steps / revise strategy
24;Identify code containing sensitive assets
24;Tamper with the code statically
24;Analyze attack results
24;Choose path of least resistance
24;Identify assets by naming scheme
24;Evaluate and select alternative steps / revise strategy
24;Tamper with the code statically
24;Analyze attack results
24;Evaluate and select alternative steps / revise strategy
24;Identify code containing sensitive assets
24;Understand code logic
24;Tamper with the code statically
24;Analyze attack results
24;Tamper with the code statically
24;Analyze attack results
24;END
25;START
25;Preliminary understanding of the app
25;Static analysis
25;Identify code containing sensitive assets
25;Build the attack strategy
25;Assess effort
25;Identify code containing sensitive assets
25;Tamper with the code statically
25;Analyze attack results
25;Identify code containing sensitive assets
25;Tamper with the code statically
25;Analyze attack results
25;Evaluate and select alternative steps / revise strategy
25;Identify assets by naming scheme
25;Evaluate and select alternative steps / revise strategy
25;Tamper with the code statically
25;Analyze attack results
25;Evaluate and select alternative steps / revise strategy
25;Identify code containing sensitive assets
25;Tamper with the code statically
25;Tamper with the code statically
25;Analyze attack results
25;END
26;START
26;Understand code logic
26;Identify code containing sensitive assets
26;Tamper with the code statically
26;Make hypothesis on reasons for attack failure
26;Identify output generation
26;Identify code containing sensitive assets
26;Understand code logic
26;Tamper with the code statically
26;Make hypothesis on reasons for attack failure
26;END
27;START
27;Identify code containing sensitive assets
27;String / name analysis
27;Tamper with the code statically
27;Analyze attack results
27;Identify code containing sensitive assets
27;String / name analysis
27;Tamper with the code statically
27;Analyze attack results
27;Tamper with the code statically
27;Analyze attack results
27;END
28;START
28;Preliminary understanding of the app
28;Tamper with the code statically
28;Analyze attack results
28;Understand code logic
28;Debugging
28;Tamper with the code statically
28;Analyze attack results
28;Tamper with the code statically
28;Analyze attack results
28;Tamper with the code statically
28;Analyze attack results
28;END
29;START
29;Identify code containing sensitive assets
29;Tamper with the code statically
29;Analyze attack results
29;Debugging
29;String / name analysis
29;Tamper with the code statically
29;Analyze attack results
29;Make hypothesis on reasons for attack failure
29;Tamper with the code statically
29;Tamper with the code statically
29;Analyze attack results
29;Tamper with the code statically
29;Analyze attack results
29;END
30;START
30;END
31;START
31;Tamper with the code statically
31;Debugging
31;Identify input / data format
31;Tamper with the code statically
31;END
32;START
32;Tamper with the code statically
32;Debugging
32;END
33;START
33;Debugging
33;Identify input / data format
33;Tamper with the code statically
33;Analyze attack results
33;END
34;START
34;Debugging
34;Understand code logic
34;Tamper with the code statically
34;Analyze attack results
34;END
35;START
35;Tamper with the code statically
35;Analyze attack results
35;Make hypothesis on reasons for attack failure
35;Understand code logic
35;END
36;START
36;Tamper with the code statically
36;Analyze attack results
36;Debugging
36;Identify code containing sensitive assets
36;Understand code logic
36;END
37;START
37;Preliminary understanding of the app
37;Preliminary understanding of the app
37;Understand code logic
37;Tamper with the code statically
37;Analyze attack results
37;Make hypothesis on reasons for attack failure
37;Tamper with the code statically
37;Analyze attack results
37;Identify points of attack
37;Tamper with the code statically
37;Analyze attack results
37;Understand code logic
37;Tamper with the code statically
37;Make hypothesis on reasons for attack failure
37;Tamper with the code statically
37;Analyze attack results
37;END
38;START
38;Identify input / data format
38;Static analysis
38;Understand code logic
38;Identify code containing sensitive assets
38;Tamper with the code statically
38;Debugging
38;Analyze attack results
38;Identify code containing sensitive assets
38;Tamper with the code statically
38;Analyze attack results
38;Debugging
38;Identify code containing sensitive assets
38;Tamper with the code statically
38;Analyze attack results
38;Tamper with the code statically
38;Analyze attack results
38;Identify code containing sensitive assets
38;Tamper with the code statically
38;Analyze attack results
38;Tamper with the code statically
38;Analyze attack results
38;END
39;START
39;Preliminary understanding of the app
39;Build the attack strategy
39;Understand code logic
39;Understand code logic
39;Understand code logic
39;Identify points of attack
39;Tamper with the code statically
39;Analyze attack results
39;Make hypothesis on reasons for attack failure
39;END
40;START
40;Preliminary understanding of the app
40;Debugging
40;Understand code logic
40;Understand code logic
40;Static analysis
40;Identify code containing sensitive assets
40;Understand code logic
40;Tamper with the code statically
40;Analyze attack results
40;END
41;START
41;Preliminary understanding of the app
41;Understand code logic
41;Identify points of attack
41;Tamper with the code statically
41;Analyze attack results
41;Tamper with the code statically
41;Analyze attack results
41;Understand code logic
41;Identify points of attack
41;Tamper with the code statically
41;Analyze attack results
41;Understand code logic
41;Identify points of attack
41;Understand code logic
41;Identify points of attack
41;Tamper with the code statically
41;Analyze attack results
41;Understand code logic
41;Evaluate and select alternative steps / revise strategy
41;Analyze attack results
41;Analyze attack results
41;END
42;START
42;Preliminary understanding of the app
42;Understand code logic
42;Identify input / data format
42;Tamper with the code statically
42;Analyze attack results
42;Tamper with the code statically
42;Analyze attack results
42;Tamper with the code statically
42;Analyze attack results
42;String / name analysis
42;Identify code containing sensitive assets
42;Tamper with the code statically
42;Analyze attack results
42;Identify code containing sensitive assets
42;Tamper with the code statically
42;Tamper with the code statically
42;Analyze attack results
42;END
43;START
43;Tamper with the code statically
43;Make hypothesis on reasons for attack failure
43;Analyze attack results
43;END
44;START
44;Tamper with the code statically
44;Analyze attack results
44;END
45;START
45;Preliminary understanding of the app
45;Preliminary understanding of the app
45;Black-box analysis
45;Recognize anomalous/unexpected behaviour
45;Black-box analysis
45;Understand code logic
45;Preliminary understanding of the app
45;Identify code containing sensitive assets
45;Static analysis
45;Identify code containing sensitive assets
45;Tamper with the code statically
45;Analyze attack results
45;Prepare attack
45;Identify code containing sensitive assets
45;Tamper with the code statically
45;Analyze attack results
45;Analyze attack results
45;END
46;START
46;Understand the app
46;Understand code logic
46;Tamper with the code statically
46;Analyze attack results
46;Identify code containing sensitive assets
46;Tamper with the code statically
46;Analyze attack results
46;Tamper with the code statically
46;Analyze attack results
46;END
47;START
47;Identify input / data format
47;Identify code containing sensitive assets
47;Tamper with the code statically
47;Analyze attack results
47;Static analysis
47;Understand code logic
47;Identify code containing sensitive assets
47;Tamper with the code statically
47;Analyze attack results
47;Evaluate and select alternative steps / revise strategy
47;Tamper with the code statically
47;Analyze attack results
47;Evaluate and select alternative steps / revise strategy
47;Tamper with the code statically
47;Analyze attack results
47;Evaluate and select alternative steps / revise strategy
47;Identify code containing sensitive assets
47;Tamper with the code statically
47;END
48;START
48;Identify API calls
48;Make hypothesis
48;Tamper with the code statically
48;Analyze attack results
48;Identify code containing sensitive assets
48;Tamper with the code statically
48;Analyze attack results
48;Tamper with the code statically
48;Analyze attack results
48;Tamper with the code statically
48;Analyze attack results
48;END
49;START
49;Analyze attack results
49;Preliminary understanding of the app
49;Understand code logic
49;Tamper with data
49;Analyze attack results
49;Identify code containing sensitive assets
49;Tamper with the code statically
49;Analyze attack results
49;Identify code containing sensitive assets
49;Tamper with the code statically
49;Analyze attack results
49;Identify code containing sensitive assets
49;Identify input / data format
49;Identify code containing sensitive assets
49;Tamper with the code statically
49;Analyze attack results
49;String / name analysis
49;Tamper with the code statically
49;Analyze attack results
49;Tamper with the code statically
49;Analyze attack results
49;Tamper with the code statically
49;Analyze attack results
49;Understand code logic
49;Tamper with data
49;Analyze attack results
49;END
50;START
50;Preliminary understanding of the app
50;Static analysis
50;Build the attack strategy
50;Tamper with the code statically
50;Analyze attack results
50;Tamper with the code statically
50;Analyze attack results
50;String / name analysis
50;Tamper with the code statically
50;Analyze attack results
50;Identify code containing sensitive assets
50;Tamper with the code statically
50;Analyze attack results
50;String / name analysis
50;Analyze attack results
50;Tamper with the code statically
50;Analyze attack results
50;Tamper with the code statically
50;Analyze attack results
50;Understand code logic
50;Build the attack strategy
50;Tamper with the code statically
50;Make hypothesis
50;Analyze attack results
50;END
